File,Year,Workplace,Position,CleanedPosition,PlaceLat,PlaceLon,PlaceArea,PlaceCity,FullName,Gender,TotalIncome,ReporterIncome,SpouseIncome,Income1,Income2,Income3,Income4,Income5,Outcome1,Outcome2,Outcome3,RealEstateType1,RealEstateArea1,RealEstateType2,RealEstateArea2,RealEstateType3,RealEstateArea3,RealEstateType4,RealEstateArea4,RealEstateType5,RealEstateArea5,RealEstateType6,RealEstateArea6,RealEstateType7,RealEstateArea7,RealEstateType8,RealEstateArea8,RealEstateType9,RealEstateArea9,RealEstateType10,RealEstateArea10,RealEstateType11,RealEstateArea11,RealEstateType12,RealEstateArea12,RealEstateType13,RealEstateArea13,RealEstateType14,RealEstateArea14,RealEstateType15,RealEstateArea15,RealEstateType16,RealEstateArea16,RealEstateType17,RealEstateArea17,RealEstateType18,RealEstateArea18,RealEstateType19,RealEstateArea19,RealEstateType20,RealEstateArea20,RealEstateType21,RealEstateArea21,RealEstateType22,RealEstateArea22,RealEstateType23,RealEstateArea23,RealEstateType24,RealEstateArea24,RealEstateType25,RealEstateArea25,RealEstateType26,RealEstateArea26,RealEstateType27,RealEstateArea27,RealEstateType28,RealEstateArea28,RealEstateType29,RealEstateArea29,RealEstateType30,RealEstateArea30,RealEstateType31,RealEstateArea31,PropertyType1,PropertyDescription1,PropertyType2,PropertyDescription2,PropertyType3,PropertyDescription3,PropertyType4,PropertyDescription4,PropertyType5,PropertyDescription5,RelativeIncome1,RelativeIncome2,RelativeIncome3,RelativeIncome4,RelativeIncome5,RelativeIncome6,RelativeOutcome1,RelativeOutcome2,RelativeOutcome3,RelativeOutcome4,RelativeRealEstateType1,RelativeRealEstateArea1,RelativeRealEstateType2,RelativeRealEstateArea2,RelativeRealEstateType3,RelativeRealEstateArea3,RelativeRealEstateType4,RelativeRealEstateArea4,RelativeRealEstateType5,RelativeRealEstateArea5,RelativeRealEstateType6,RelativeRealEstateArea6,RelativeRealEstateType7,RelativeRealEstateArea7,RelativeRealEstateType8,RelativeRealEstateArea8,RelativeRealEstateType9,RelativeRealEstateArea9,RelativeRealEstateType10,RelativeRealEstateArea10,RelativeRealEstateType11,RelativeRealEstateArea11,RelativeRealEstateType12,RelativeRealEstateArea12,RelativeRealEstateType13,RelativeRealEstateArea13,RelativeRealEstateType14,RelativeRealEstateArea14,RelativeRealEstateType15,RelativeRealEstateArea15,RelativeRealEstateType16,RelativeRealEstateArea16,RelativeRealEstateType17,RelativeRealEstateArea17,RelativeRealEstateType18,RelativeRealEstateArea18,RelativeRealEstateType19,RelativeRealEstateArea19,RelativeRealEstateType20,RelativeRealEstateArea20,RelativeRealEstateType21,RelativeRealEstateArea21,RelativeRealEstateType22,RelativeRealEstateArea22,RelativeRealEstateType23,RelativeRealEstateArea23,RelativeRealEstateType24,RelativeRealEstateArea24,RelativeRealEstateType25,RelativeRealEstateArea25,RelativeRealEstateType26,RelativeRealEstateArea26,RelativeRealEstateType27,RelativeRealEstateArea27,RelativeRealEstateType28,RelativeRealEstateArea28,RelativeRealEstateType29,RelativeRealEstateArea29,RelativeRealEstateType30,RelativeRealEstateArea30,RelativeRealEstateType31,RelativeRealEstateArea31,RelativeRealEstateType32,RelativeRealEstateArea32,RelativePropertyType1,RelativePropertyDescription1,RelativePropertyType2,RelativePropertyDescription2,RelativePropertyType3,RelativePropertyDescription3,RelativePropertyType4,RelativePropertyDescription4,RelativePropertyType5,RelativePropertyDescription5,RelativePropertyType6,RelativePropertyDescription6,RelativePropertyType7,RelativePropertyDescription7,RelativePropertyType8,RelativePropertyDescription8,RelativePropertyType9,RelativePropertyDescription9,RelativePropertyType10,RelativePropertyDescription10
files/2015-2016/2017091821474215.xlsx,2016,Аппарат Правительства КР,Эксперт,эксперт,41.20438,74.766098,Чуйская область,Бишкек,Азаматов Азиз Азаматович,М,62998.0,62998.0,0.0,62 998 с.- по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",квартира,"10,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,,"","","","","","","","","","","","","","","","","",""
files/2015-2016/201709220014155.xlsx,2016,Аппарат Жогорку Кенеша КР,Заведующий сектором,заведующий сектором,41.20438,74.766098,Чуйская область,Бишкек,Сматов Данияр Мыктыбекович,М,574711.0,574711.0,0.0,574 711 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201609261737102.xlsx,2015,Аппарат Правительства Кыргызской Республики,Заместитель заведующего отдела,заместитель заведующего отдела,42.8800704,74.6039909,Чуйская область,Бишкек,Эсеналиев Талантбек Канатбекович,М,2302059.0,760054.0,1542005.0,760054,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Камри, 2004 г.в","","","","","","","","",1542005,"","","","","","","","","",дом,460,нежилое помещение,275,квартира,101,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201608092018395.xlsx,2015,Чуйская районная государственная администрация,Экс- первый заместитель главы, первый заместитель главы,42.5655,74.4056612,Чуйская область,Бишкек,Исагалиев Садык  Бейшекеевич,М,0.0,0.0,0.0,-,"","","","","","","",земельная доля,"0,92 га","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201709191533196.xlsx,2016,Аппарат Правительства Кыргызской Республики,Заместитель заведующего отделом,заместитель заведующего отделом,42.8800704,74.6039909,Чуйская область,Бишкек,Исаев Айбек Назарбаевич,М,735115.0,351115.0,384000.0,351 115 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",384 000 с.-по месту основной работы,"","","","","","","","","",квартира,"82,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201607072102228.xlsx,2015,Жогорку Кенеш Кыргызской Республики,депутат,депутат,42.8772492,74.6002389,Чуйская область,Бишкек,Акаев Жанарбек Кубанычович,М,239370.0,239370.0,0.0,239 370 сомов,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201609202032466.xlsx,2015,Мэрия города Каинда,Мэр,мэр,42.8297548,73.6830521,Чуйская область,Жайыл,Иманкулов Эркин Токтаалиевич,М,254800.0,254800.0,0.0,254800.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",квартира,61.6,дом,578.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201611151551549.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Заместитель начальника УГНС по Бакай-Атинскому р-ну,заместитель начальника,42.8767344,74.594469,Чуйская область,Бишкек,Шадыканов Мурат Каналбекович,М,385525.0,385525.0,0.0,237 525 - по месту основной работы,148 000 - доход от земледелия,"","","","","","",дом,"52,6",дом,"47,82",земельный участок (доля),49 600,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Хонда Аккорд, 2002г.вып., V=1850Б","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/2017082416153214.xlsx,2016,Государственная администрация Чаткалского района Джалал-Абадской области,Руководитель аппарата,руководитель аппарата,41.8241681,71.097317,Джалал-Абадская область,Чаткал,Керимбеков Козубай Култайевич,М,537426.0,524826.0,12600.0,524 826 с.-по месту основной работы,"","","","","","","",дом,"70,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",лег/автомобиль,"Мицубиси Монтеро, 1997г., V=3000 см³","","","","","","","","",12 600 с.-по месту основной работы,"","","","","","","","","",дом,"90,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201608241701034.xlsx,2015,Ноокатская районная государственная администрация,Глава,глава,40.0368118,72.6151169,Ошская область,Ноокат,Айтиев Бекполот Баратович,М,489712.0,340527.0,149185.0,340527.0,"","","","","","","",недостроен.дом,66.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",149185.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/2016081923513611.xlsx,2015,Баткенский областной суд,Судья,судья,40.0536531,70.8141786,Баткенская область,Баткен,Аданбаев Зарипбек Максутович,М,786358.0,786358.0,0.0,786358,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201607191819374.xlsx,2015,Государственная служба финансовой разведки при Правительстве Кыргызской Республики,Председатель,председатель,42.8821142,74.5976226,Чуйская область,Бишкек,Мамбетжанов Мэлис Тулиндыевич,М,3725213.0,427196.0,3298017.0,427196,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3298017,"","","","","","","","","",квартира,234,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,Лексус GX 470,"","","","","","","","","","","","","","","","","",""
files/2015-2016/201607192047573.xlsx,2015,Министерство энергетики и промышленности,статс-секретарь,статс-секретарь,42.8821142,74.5976226,Чуйская область,Бишкек,Баетов Батыркул Исаевич,М,1104330.0,705199.0,399131.0,705 199,"","","","","","","",дом,"219,6",дом,"46,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",399 131,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",лег/автомобиль,-,"","","","","","","","","","","","","","","","","",""
files/2015-2016/201611151637010.xlsx,2015,Мэрия города Жалал-Абад,Руководитель аппарата,руководитель аппарата,40.93007,73.0011386,Джалал-Абадская область,Джалал Абад,Жантороев Барчынбек Азатбекович,М,184936.0,184936.0,0.0,184936.0,"","","","","","","",квартира,58.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201607182232574.xlsx,2015,Министерство чрезвычайных ситуаций Кыргызской Республики,Директор департамента по ПЛПЧС,директор,40.5255681,72.7935541,Ошская область,Ош,Закиров Асылбек Абдилбаапович,М,208480.0,208480.0,0.0,208 480 сом,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",квартира,73.7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/2016111422191315.xlsx,2015,Государственная таможенная служба при Правительстве Кыргызской Республики,"Начальник Оперативной таможни ""Юг""",таможенник,42.8821142,74.5976226,Чуйская область,Бишкек,Мурзалимбеков Мирлан Кадыралиевич,М,570152.0,570152.0,0.0,570 152,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201608302009196.xlsx,2015,Военный суд КР,Заместитель председателя,заместитель председателя,42.8821142,74.5976226,Чуйская область,Бишкек,Кожомбердиев Бакыт Кожомбердиевич,М,830896.0,669205.0,161691.0,669205,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",161691,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201608301733396.xlsx,2015,Верховный суд КР,Судья,судья,42.8796081,74.605566,Чуйская область,Бишкек,Боронбаева Дильфуза Салимовна,Ж,1113925.0,768145.0,345780.0,768145,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль (50%),"Лексус, 2004 г.в, V-3,3","","","","","","","","",345780,"","","","","","","","","",дом,310,дом,189,гараж,20,земельный участок,"0,065 га","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201608101553094.xlsx,2015,Свердловский районный суд г.Бишкек,Судья,судья,42.8697758,74.6163468,Чуйская область,Бишкек,Саадабаева Гульзат Аскербековна,Ж,203274.0,203274.0,0.0,203274,"","","","","","","",квартира,45.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,не указаны,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201607191747050.xlsx,2015,Государственная служба по борьбе с экономическими преступлениями при Правительстве         Кыргызской Республики,Экс-заместитель председателя,заместитель председателя,42.8532441,74.5926664,Чуйская область,Бишкек,Муратбеков Женишбек Алимбекович,М,398782.0,398782.0,0.0,398782,"","","","","","","",дом,302,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Мерседес-350, 2004 г.в, V-3,5, №033825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота, 2004 г.в, V-2, №0199171","","","","","","","","","","","","","","","","","",""
files/2015-2016/2017090716301613.xlsx,2016,Муниципальная администрация мэрии гор.Бишкек по Свердловскому району,Руководитель аппарата,руководитель аппарата,42.8744034,74.6345794,Чуйская область,Бишкек,Байсов Чынгыз Таштанбекович,М,551455.0,447639.0,103816.0,447 639 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",103 816 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
